Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181114_0000038,ml 3.6,2018-11-14T10:31:44.3Z,37.42,20.68,IONIAN SEA,2,EMSC
20181114_0000036,ml 2.2,2018-11-14T10:15:53.5Z,37.99,-118.49,NEVADA,10,NN
20181114_0000037,mb 4.8,2018-11-14T10:07:31.0Z,42.75,141.94,"HOKKAIDO, JAPAN REGION",40,EMSC
20181114_0000118,m 3.5,2018-11-14T10:02:09.0Z,-23.1,-66.58,"JUJUY, ARGENTINA",238,NSNA
20181114_0000064,m 3.6,2018-11-14T10:00:00.0Z,16.27,-95.28,"OAXACA, MEXICO",45,UNM
20181114_0000065,m 3.8,2018-11-14T09:53:37.0Z,16.21,-95.21,"OAXACA, MEXICO",68,UNM
20181114_0000066,m 3.6,2018-11-14T09:47:50.0Z,17.32,-101.32,"OFFSHORE GUERRERO, MEXICO",9,UNM
20181114_0000047,md 2.3,2018-11-14T09:34:51.0Z,35.93,-91.33,ARKANSAS,17,NEIR
20181114_0000089,ml 2.1,2018-11-14T09:28:59.6Z,42.65,-111.47,SOUTHERN IDAHO,-3,UU
20181114_0000033,ml 2.0,2018-11-14T09:28:24.9Z,40.01,27.42,WESTERN TURKEY,15,DDA
20181114_0000034,ml 3.8,2018-11-14T09:27:27.7Z,37.45,20.46,IONIAN SEA,10,EMSC
20181114_0000035,m 4.3,2018-11-14T09:26:16.0Z,14.59,-94.44,"OFF COAST OF CHIAPAS, MEXICO",16,UNM
20181114_0000032,ml 3.0,2018-11-14T09:19:40.2Z,37.6,-6.61,SPAIN,10,EMSC
20181114_0000031,ml 2.4,2018-11-14T09:06:37.5Z,38.34,40.94,EASTERN TURKEY,10,EMSC
20181114_0000030,ml 2.6,2018-11-14T08:17:17.0Z,44.5,6.44,FRANCE,1,EMSC
20181114_0000028,md 3.0,2018-11-14T06:57:47.2Z,18.24,-67.9,"MONA PASSAGE, PUERTO RICO",121,NEIR
20181114_0000026,ml 3.2,2018-11-14T06:55:12.0Z,-21.1,-68.48,"ANTOFAGASTA, CHILE",138,GUC
20181114_0000067,m 3.1,2018-11-14T06:47:31.0Z,16.12,-97.83,"OAXACA, MEXICO",32,UNM
20181114_0000022,ml 3.8,2018-11-14T06:25:02.6Z,64.78,-150.87,CENTRAL ALASKA,17,NEIR
20181114_0000024,m 4.1,2018-11-14T06:24:09.0Z,15.41,-94.72,"OFFSHORE OAXACA, MEXICO",16,UNM
20181114_0000021,ml 3.4,2018-11-14T06:10:42.0Z,-21.22,-68.72,"ANTOFAGASTA, CHILE",115,GUC
20181114_0000058,md 2.3,2018-11-14T05:59:48.1Z,47.54,-122.52,"SEATTLE-TACOMA AREA, WASHINGTON",26,NEIR
20181114_0000018,ml 2.0,2018-11-14T04:52:55.8Z,44.35,10.92,NORTHERN ITALY,24,ROM
20181114_0000045,ml 3.3,2018-11-14T04:29:11.5Z,37.4,20.72,IONIAN SEA,13,THE
20181114_0000016,m 4.0,2018-11-14T04:28:02.0Z,16.17,-97.6,"OAXACA, MEXICO",16,UNM
20181114_0000014,ml 3.2,2018-11-14T04:16:24.8Z,35.77,27.87,"DODECANESE ISLANDS, GREECE",60,EMSC
